1	Black Holes and Revelations	2006-03-06	Muse	Helium 3, Warner Bros.	4	2013-01-19	2.99	2.99	0	0	Rock	BlackHolesAndRevelations.png
2	Absolution	2003-09-29	Muse	A&E, Mushroom, Taste, East West	2	2013-01-19	0.99	0.99	0	0	Rock	Absolution.jpg
3	Origin of Symmetry	2001-11-07	Muse	Taste	3	2013-01-19	1.99	1.99	0	0	Rock	OriginOfSymmetry.jpg
4	Queen Classic	1992-10-03	Queen	Hollywood, EMI/Parlophone	7	2013-01-19	5.99	5.99	0	0	Rock	QueenClassic.png
5	Mylo Xyloto	2011-10-19	Coldplay	Parlophone	1	2013-01-19	0.49	0.49	0	0	Rock	MyloXyloto.jpeg
6	A Rush of Blood to The Head	2002-08-26	Coldplay	Capitol, Parlophone	3	2013-01-19	1.99	1.99	0	0	Rock	ARushOfBloodToTheHead.png
7	Long. Live. ASAP	2013-01-15	ASAP Rocky	RCA	12	2013-01-19	9.99	9.99	0	0	Hip-Hop	longLiveAsap.jpg
8	Life Is Good	2012-07-13	Nas	Def Jam	14	2013-01-19	14.99	14.99	0	0	Hip-Hop	lifeIsGood.jpg
9	Kaleidoscope Dream	2012-09-25	Miguel	RCA	11	2013-01-19	8.99	8.99	0	0	R&B	mkldsdm.jpg
10	Reasonable Doubt	1996-06-25	Jay-Z	Roc-A-Fella, Priority	14	2013-01-19	15.99	15.99	0	0	Hip-Hop	jzrd.jpg
11	Sailing Souls	2011-03-16	Jhene Aiko	Def Jam	13	2013-01-19	7.99	7.99	0	0	R&B	jhss.jpg
12	Good Kid, M.A.A.D City	2013-10-22	Kendrick Lamar	Aftermath, Interscope	12	2013-01-19	12.99	12.99	0	0	Hip-Hop	gkmc.jpg
13	Death is Silent	2010-07-09	Kno	QN5 Music, APOS Music	13	2013-01-17	8.99	8.99	0	0	Hip-Hop	deathIsSilent.jpg
14	How I got Over	2010-06-22	The Roots	Def Jam	14	2013-01-17	14.47	14.47	0	0	Hip-Hop	howIGotOver.jpg
15	Until Now	2012-09-22	Swedish House Mafia	Polydor	3	2013-01-21	2.25	2.75	0	0	Electro	untilnow.jpg
16	Levels	2012-02-13	Avicii	Universal	1	2013-01-21	0.75	0.99	0	0	Electro	levels.jpg
17	Bangarang	2012-01-11	Skrillex	Warner	4	2013-01-21	3	3.75	0	0	Electro	bangarang.jpg
18	Lost Wood	2012-10-04	Ephixa	Monstercat	1	2013-01-21	0.75	0.99	0	0	Electro	ephixa.png
19	Tetra	2012-03-10	C2C	Mercury Records	4	2013-01-21	3	3.75	0	0	Electro	c2c.jpg
20	9/14/2007	2007-01-01	Danger	Ekler'o'shock	2	2013-01-21	1.5	1.75	0	0	Electro	danger1.jpg
21	9/16/2007	2009-01-01	Danger	Ekler'o'shock	2	2013-01-21	1.5	1.75	0	0	Electro	danger2.jpg
22	Wonderland	2012-01-01	Steve Aoki	Ultra Records	3	2013-01-22	2.25	2.75	0	0	Electro	 
23	Liberation: The Island Anthology	1993-01-01	Black Uhuru	Island Records	2	2013-01-18	1.04	1.49	0	0	Reggae	liberation.jpg
24	Songs of Freedom	1992-10-06	Bob Marley	Island Records	3	2013-01-18	1.74	2.49	0	0	Reggae	freedom.jpg
25	Wonderful World, Beautiful People	1970-01-01	Jimmy Cliff	UMG Recordings 	2	2013-01-18	1.04	1.49	0	0	Reggae	wonderfulWorld.jpg
26	Changes Riddim	2009-09-09	Various Artists (Jah Cure, Richie Spice)	Don Corleon Records	2	2013-01-18	1.04	1.49	0	0	Reggae	changesRiddim.jpg
27	The Gold Collection	1996-01-01	Peter Tosh	EMI Records	3	2013-01-18	1.74	2.49	0	0	Reggae	goldCollection.jpg
28	Blackheart Man	1976-01-01	Bunny Wailer	Island Def Jam Records	3	2013-01-18	1.74	2.49	0	0	Reggae	blackheartMan.jpg
29	The "Killer" Rides Again	1990-01-01	Jacob Miller	VP Music Group	2	2013-01-18	1.04	1.49	0	0	Reggae	killerRides.jpg
30	Life Of Contradiction	1976-01-01	Joe Higgs	Pressure Sounds	2	2013-01-18	1.04	1.49	0	0	Reggae	lifeOfContradiction.jpg
31	Baby One More Time	1999-01-12	Britney Spears	Jive	1	2013-01-18	0.49	0.99	0	0	Pop	babyOneMoreTime.png
32	In The Zone	1976-01-01	Britney Spears	Jive	1	2013-01-18	0.49	0.99	0	0	Pop	inTheZone.png
33	Circus	1976-01-01	Britney Spears	Jive	1	2013-01-18	0.49	0.99	0	0	Pop	circus.png
34	Let Them Talk	2011-05-09	Hugh Laurie	Warner	1	2013-01-18	0.49	0.99	0	0	Jazz	letThemTalk.png
35	Renee Olstead	2004-05-25	Renee Olstead	143 / Reprise	1	2013-01-18	0.49	0.99	0	0	Jazz	reneeOlstead.png
36	Michael Buble	2003-02-11	Michael Buble	143 Records, Reprise	1	2013-01-18	0.49	0.99	0	0	Jazz	michaelBuble.png
